feedback,issue,distance,50/150,,,,21/50,,feedback,issue,distance,51/100
Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,Backup/restore doesn't properly import group chats,[0.8845155],1,,"I cant use this app because when I enter my phone number, it will send mme a coad but I can't find the edit box for the coad, beasically it is not accessible with talkback, plz fix this","localization issue untranslated string ""phone number"" (label of a text field) in registration screen",0,,Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,Backup/restore doesn't properly import group chats,[0.8845155],1
Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,Group conversations broken after restoring phone,[0.8791582],0,,"I am not getting notifications. I have granted all the necessary permissions, and turned on all notifications. However, at one place the only options are either to allow '3 notifications a day' or none at all.",don't receive notification,0,,Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,Group conversations broken after restoring phone,[0.8791582],0
Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,Missing and mixed up messages in group chat,[0.8775734],1,17,The new update doesnt alert on sms messages from other signal users in my contact list. I get no notifications on messages. Neither does my wife and she has an iphone. Fix this!! Gonna have to go back to standard messaging till you fix.,"Message notification status ""out of sync""",0,,Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,Missing and mixed up messages in group chat,[0.8775734],1
i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,when using video call only working rear facing camera ...not working front camera although both camera working in whatsapp and FB messenger..,[0.8590443],0,,Signal does everything I ask it to do except post videos longer than a few seconds. Fix that and you'll get another star.,[4.3.0] Signal takes minutes to display video thumbnails,0,,i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,when using video call only working rear facing camera ...not working front camera although both camera working in whatsapp and FB messenger..,[0.8590443],0
i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,"Other party cannot see my video when I call them. When they call me, everything works fine.",[0.85189605],0,,"For a messaging app that is suppose to feature privacy as the main attraction, when you join it tells Everyone that you're there. The purpose of the app should be to allow you to choose who to share things with, and when. The calling system is also flawed as you don't receive a call, only a missed call notification. This hasn't been solved with updates.","Contact ""joined"" Signal notification can be misleading",1,,i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,"Other party cannot see my video when I call them. When they call me, everything works fine.",[0.85189605],0
i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,Voice message can't play in the background which working great on ios ,[0.8459429],0,18,"my main gripe with this is when i try to copy message text, the whole block is selected, and I can't just grab a number or address to paste somewhere. i like the app but i need that functionality for my job. would change rating if this is fixed",Difficult to select some messages,1,,i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,Voice message can't play in the background which working great on ios ,[0.8459429],0
Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,"Can't call or recieve call, always gets a misscall",[0.890198],0,,App keeps crashing during the initial setup. Cant get past it! If the app stops working the second you open it then the app must be absolute garbage.,4.16.9 keeps crashing when trying to open the app,1,,Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,"Can't call or recieve call, always gets a misscall",[0.890198],0
Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,Sometimes problems sending textmessages,[0.88806236],0,,"I love this app, however I no longer receive notifications until I open the app. I was previously enrolled in beta and thought that was the reason for the lack of notifications. Please fix this.",Not getting notification in real time unless I open the app,1,,Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,Sometimes problems sending textmessages,[0.88806236],0
Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,Can recieve calls but not make them,[0.87685156],0,19,0,,,,Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,Can recieve calls but not make them,[0.87685156],0
"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",Unable to manage audio message volume when you put your smartphone close to your ear,[0.9002005],0,,,,,,"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",Unable to manage audio message volume when you put your smartphone close to your ear,[0.9002005],0
"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",Behvior of the proximity sensor does not return to normal after listening to audio message.,[0.878095],0,,,,,,"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",Behvior of the proximity sensor does not return to normal after listening to audio message.,[0.878095],0
"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",Voice messages stop playing when the screen goes off,[0.8752737],1,20,,,,,"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",Voice messages stop playing when the screen goes off,[0.8752737],1
"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Pictures taken by Camera not always displayed for sending,[0.8936782],0,,,,,,"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Pictures taken by Camera not always displayed for sending,[0.8936782],0
"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Sent images are seeming being downgraded in quality,[0.8925426],1,,,,,,"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Sent images are seeming being downgraded in quality,[0.8925426],1
"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Occasionally a picture is not completely rendered on sending device.,[0.8916795],1,21,,,,,"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Occasionally a picture is not completely rendered on sending device.,[0.8916795],1
what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,Problemes with group chats,[0.90590334],1,,,,,,what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,Problemes with group chats,[0.90590334],1
what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,Yet another group chat problem,[0.89126444],1,,,,,,what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,Yet another group chat problem,[0.89126444],1
what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,Not all contacts of a group chat receive same messages,[0.8909507],0,22,,,,,what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,Not all contacts of a group chat receive same messages,[0.8909507],0
Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,Sometimes problems sending textmessages,[0.8661367],0,,,,,,Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,Sometimes problems sending textmessages,[0.8661367],0
Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,Signal freezing when trying to send SMS,[0.8648353],1,,,,,,Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,Signal freezing when trying to send SMS,[0.8648353],1
Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,Issues with MMS after MMS was working correctly,[0.86270607],0,23,,,,,Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,Issues with MMS after MMS was working correctly,[0.86270607],0
Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,Signal crashes sometimes while calling and the person doesn't answer,[0.9009719],0,,,,,,Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,Signal crashes sometimes while calling and the person doesn't answer,[0.9009719],0
Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,"Sometimes receiving ""missed call"" alerts even when Android phone was available",[0.89322054],1,,,,,,Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,"Sometimes receiving ""missed call"" alerts even when Android phone was available",[0.89322054],1
Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,"Can't call or recieve call, always gets a misscall",[0.88647866],0,24,,,,,Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,"Can't call or recieve call, always gets a misscall",[0.88647866],0
"I received odd texts after installing this app. Will not use as a default, too scary.",Installation sent a random text,[0.8831512],0,,,,,,"I received odd texts after installing this app. Will not use as a default, too scary.",Installation sent a random text,[0.8831512],0
"I received odd texts after installing this app. Will not use as a default, too scary.",SMS Send Automatically I'm Worried :(,[0.8637418],0,,,,,,"I received odd texts after installing this app. Will not use as a default, too scary.",SMS Send Automatically I'm Worried :(,[0.8637418],0
"I received odd texts after installing this app. Will not use as a default, too scary.","I keep receving coded texts , after uninstallation.",[0.8629953],0,25,,,,,"I received odd texts after installing this app. Will not use as a default, too scary.","I keep receving coded texts , after uninstallation.",[0.8629953],0
"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?",Can't call some of my friends securely,[0.86477566],0,,,,,,"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?",Can't call some of my friends securely,[0.86477566],0
"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?",Wiping app data and registering a different number causes messages sent to the old number to be dropped,[0.86443484],0,,,,,,"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?",Wiping app data and registering a different number causes messages sent to the old number to be dropped,[0.86443484],0
"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?",opening conversation where a call was missed doesn't clear notification,[0.8635359],0,26,,,,,"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?",opening conversation where a call was missed doesn't clear notification,[0.8635359],0
Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,Messages don't come in immediately,[0.88705105],0,,,,,,Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,Messages don't come in immediately,[0.88705105],0
Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,messages seem to take too long.,[0.88332397],0,,,,,,Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,messages seem to take too long.,[0.88332397],0
Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,messages take too long before get send,[0.8806447],1,27,,,,,Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,messages take too long before get send,[0.8806447],1
"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",Sometimes I don't receive Signal Messages until I open the app,[0.88189834],0,,,,,,"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",Sometimes I don't receive Signal Messages until I open the app,[0.88189834],0
"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",Not getting notification in real time unless I open the app,[0.88039565],1,,,,,,"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",Not getting notification in real time unless I open the app,[0.88039565],1
"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",Don't receive notifcation sometimes,[0.87764996],0,28,,,,,"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",Don't receive notifcation sometimes,[0.87764996],0
"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.","""Mute notifications"" doesn't completely(?) mark new messages as read.",[0.8865973],0,,,,,,"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.","""Mute notifications"" doesn't completely(?) mark new messages as read.",[0.8865973],0
"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.","""In-conversation notifications"" setting doesn't really work as intended",[0.87380195],0,,,,,,"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.","""In-conversation notifications"" setting doesn't really work as intended",[0.87380195],0
"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.",bug - Have to hit back multiple times to get from conversation to messages,[0.8673404],0,29,,,,,"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.",bug - Have to hit back multiple times to get from conversation to messages,[0.8673404],0
Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,Signal deleted all my texts =(,[0.8638953],0,,,,,,Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,Signal deleted all my texts =(,[0.8638953],0
Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.8531145],0,,,,,,Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.8531145],0
Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,Signal deleted all my contacts,[0.85193974],0,30,,,,,Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,Signal deleted all my contacts,[0.85193974],0
Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,Not getting notification in real time unless I open the app,[0.85838693],0,,,,,,Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,Not getting notification in real time unless I open the app,[0.85838693],0
Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,Notification reappears every time I open the app,[0.85732096],0,,,,,,Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,Notification reappears every time I open the app,[0.85732096],0
Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,Closing App - Strange Home Screen Behavior,[0.8538456],0,31,,,,,Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,Closing App - Strange Home Screen Behavior,[0.8538456],0
So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,messages seem to take too long.,[0.89909995],0,,,,,,So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,messages seem to take too long.,[0.89909995],0
So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,Messages don't come in immediately,[0.8873397],0,,,,,,So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,Messages don't come in immediately,[0.8873397],0
So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,Problems with messages from unknown contact.,[0.87914824],0,32,,,,,So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,Problems with messages from unknown contact.,[0.87914824],0
"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.",app crash every time I try to compose a message,[0.8977524],1,,,,,,"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.",app crash every time I try to compose a message,[0.8977524],1
"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.",App crashes when I try to send a message,[0.8904246],0,,,,,,"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.",App crashes when I try to send a message,[0.8904246],0
"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.","Android app no longer able to send, link devices, or even deregister; only receives messages after reboot",[0.8807681],0,33,,,,,"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.","Android app no longer able to send, link devices, or even deregister; only receives messages after reboot",[0.8807681],0
Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,App permanently stops sending & receiving messages or calls,[0.8568099],0,,,,,,Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,App permanently stops sending & receiving messages or calls,[0.8568099],0
Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,Swiping to Close Signal in Recent Apps List Causes an Exit,[0.85137045],0,,,,,,Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,Swiping to Close Signal in Recent Apps List Causes an Exit,[0.85137045],0
Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,"Please remove the ""nag screen"" asking me to use push instead of SMS",[0.8480509],0,34,,,,,Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,"Please remove the ""nag screen"" asking me to use push instead of SMS",[0.8480509],0
"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.",Sends/Receives messages but calls not going through?,[0.8636366],0,,,,,,"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.",Sends/Receives messages but calls not going through?,[0.8636366],0
"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.",Message delivery unreliable,[0.860221],0,,,,,,"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.",Message delivery unreliable,[0.860221],0
"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.",Can recieve calls but not make them,[0.8598938],0,35,,,,,"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.",Can recieve calls but not make them,[0.8598938],0
"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.",Not all contacts of a group chat receive same messages,[0.86286443],0,,,,,,"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.",Not all contacts of a group chat receive same messages,[0.86286443],0
"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.",Improve usability / look of contacts list,[0.8561744],0,,,,,,"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.",Improve usability / look of contacts list,[0.8561744],0
"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.",Where and how is contacts synced?,[0.8545886],0,36,,,,,"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.",Where and how is contacts synced?,[0.8545886],0
"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.",Sometimes problems sending textmessages,[0.869346],1,,,,,,"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.",Sometimes problems sending textmessages,[0.869346],1
"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.",Texts not sent/received - data issue?,[0.8527465],0,,,,,,"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.",Texts not sent/received - data issue?,[0.8527465],0
"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.",Sends/Receives messages but calls not going through?,[0.848471],0,37,,,,,"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.",Sends/Receives messages but calls not going through?,[0.848471],0
It is very worst application.it is frequently hanged. Messages are Updating very delayed.. sometimes messages are not Updating.We can't delete message.also we cant delete Messages from group.also no any group admin..any one can add any one to group.and also no any admin and ee cant remove any one from group.disabling feature is alos very bad.we cant forword ine message in different groups or person.overall its very bad application.please improve features as said above immediately.,Messages in a particular groups is getting delayed in delivery,[0.8732102],1,,,,,,It is very worst application.it is frequently hanged. Messages are Updating very delayed.. sometimes messages are not Updating.We can't delete message.also we cant delete Messages from group.also no any group admin..any one can add any one to group.and also no any admin and ee cant remove any one from group.disabling feature is alos very bad.we cant forword ine message in different groups or person.overall its very bad application.please improve features as said above immediately.,Messages in a particular groups is getting delayed in delivery,[0.8732102],1
It is very worst application.it is frequently hanged. Messages are Updating very delayed.. sometimes messages are not Updating.We can't delete message.also we cant delete Messages from group.also no any group admin..any one can add any one to group.and also no any admin and ee cant remove any one from group.disabling feature is alos very bad.we cant forword ine message in different groups or person.overall its very bad application.please improve features as said above immediately.,Signal can't cope with some group messages,[0.8677019],1,,,,,,It is very worst application.it is frequently hanged. Messages are Updating very delayed.. sometimes messages are not Updating.We can't delete message.also we cant delete Messages from group.also no any group admin..any one can add any one to group.and also no any admin and ee cant remove any one from group.disabling feature is alos very bad.we cant forword ine message in different groups or person.overall its very bad application.please improve features as said above immediately.,Signal can't cope with some group messages,[0.8677019],1
