feedback,issue,distance,,37/150,,,,14/50,,feedback,issue,distance,,39/100
"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work","Web Apps - Login auto-complete isn't working, with multiple logins saved",[0.6998092],,0,18,Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,after selecting firefox from 'recently used apps list' browser displays a white screen about 2 second delay and then forces page reload,0,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work","Web Apps - Login auto-complete isn't working, with multiple logins saved",[0.6998092],,0
Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,Custom Tabs load the page slow if the browser isn't in background,[0.67583823],,0,,"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",0,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,Custom Tabs load the page slow if the browser isn't in background,[0.67583823],,0
Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,"[rendering] after scrolling down a long slashdot thread, the text fails to anti-alias",[0.6715478],,0,,"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF","Rename ""Automatic updates"" pref to ""Download updates automatically"" to make it clearer that notifications are still expected",0,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,"[rendering] after scrolling down a long slashdot thread, the text fails to anti-alias",[0.6715478],,0
Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,BrowserApp does not properly clean up on shutdown,[0.6675779],,0,19,0,,,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,BrowserApp does not properly clean up on shutdown,[0.6675779],,0
"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",Back button doesn't work properly from about:accounts if not signed in to Sync,[0.703509],,0,,0,,,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",Back button doesn't work properly from about:accounts if not signed in to Sync,[0.703509],,0
"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!","Sync occasionally spins the CPU, making interaction very slow and the phone hot",[0.6967407],,0,,0,,,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!","Sync occasionally spins the CPU, making interaction very slow and the phone hot",[0.6967407],,0
"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",Sync error logging during large failed upload/download drains battery,[0.6965786],,0,20,0,,,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",Sync error logging during large failed upload/download drains battery,[0.6965786],,0
"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","""Send Tab to Device"" screen intermittently lists no remote Sync devices and has disabled ""Send"" button",[0.7337582],,1,,0,,,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","""Send Tab to Device"" screen intermittently lists no remote Sync devices and has disabled ""Send"" button",[0.7337582],,1
"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","Search suggestions are disabled in normal browsing after going to Settings without choosing to turn off search suggestions and with ""Don't keep activities"" enabled",[0.72108984],,1,,0,,,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","Search suggestions are disabled in normal browsing after going to Settings without choosing to turn off search suggestions and with ""Don't keep activities"" enabled",[0.72108984],,1
"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone",Action is missing on tapping on any button from Privacy Coach add-on page after disable and re-enable the add-on,[0.708886],,0,21,0,,,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone",Action is missing on tapping on any button from Privacy Coach add-on page after disable and re-enable the add-on,[0.708886],,0
"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","Once Video is suspended by playing video in the Youtube app, it can't be restarted (and no video works)",[0.66235954],,1,,0,,,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","Once Video is suspended by playing video in the Youtube app, it can't be restarted (and no video works)",[0.66235954],,1
"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","VideoPlayer doesn't work at all, preventing video playback on devices without YouTube application",[0.65366304],,1,,0,,,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","VideoPlayer doesn't work at all, preventing video playback on devices without YouTube application",[0.65366304],,1
"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support",HTML 5 video controls and context menu can't be triggered when the page is zoomed out to the maximum level,[0.65266716],,1,22,0,,,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support",HTML 5 video controls and context menu can't be triggered when the page is zoomed out to the maximum level,[0.65266716],,1
Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,FF Mobile: [UX] Hard to close many tabs quickly because it is too easy to hit 'Undo' Close tab,[0.6379663],,0,,0,,,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,FF Mobile: [UX] Hard to close many tabs quickly because it is too easy to hit 'Undo' Close tab,[0.6379663],,0
Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,longish downloads stall when device goes to sleep and ff gets minimized,[0.6267178],,0,,0,,,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,longish downloads stall when device goes to sleep and ff gets minimized,[0.6267178],,0
Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,Top sites mostly unresponsive for several seconds after load,[0.6248742],,0,23,0,,,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,Top sites mostly unresponsive for several seconds after load,[0.6248742],,0
"Good app when it works, but it constantly crashes when starting up.",Auto-launch of downloads often launches the wrong app,[0.7533443],,0,,0,,,,"Good app when it works, but it constantly crashes when starting up.",Auto-launch of downloads often launches the wrong app,[0.7533443],,0
"Good app when it works, but it constantly crashes when starting up.",App doesn't correctly handle change of device language in run-time,[0.710435],,0,,0,,,,"Good app when it works, but it constantly crashes when starting up.",App doesn't correctly handle change of device language in run-time,[0.710435],,0
"Good app when it works, but it constantly crashes when starting up.",When opening multiple (>12) tabs from a third party app the app crashes.,[0.7050359],,1,24,0,,,,"Good app when it works, but it constantly crashes when starting up.",When opening multiple (>12) tabs from a third party app the app crashes.,[0.7050359],,1
"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)",Only getting half password stars on NYTimes login,[0.61941314],,0,,0,,,,"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)",Only getting half password stars on NYTimes login,[0.61941314],,0
"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)",Update copy for Sync only over Wi-Fi,[0.61610276],,0,,0,,,,"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)",Update copy for Sync only over Wi-Fi,[0.61610276],,0
"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)",Enhance autoplay pref to have a mode to only do so on wifi,[0.61570406],,0,25,0,,,,"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)",Enhance autoplay pref to have a mode to only do so on wifi,[0.61570406],,0
Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,Noticeable slowness in scrolling in Firefox compared to other browser on same system,[0.7638298],,1,,0,,,,Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,Noticeable slowness in scrolling in Firefox compared to other browser on same system,[0.7638298],,1
Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,the splash screen with Firefox logo makes the app feel slow,[0.7556714],,0,,0,,,,Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,the splash screen with Firefox logo makes the app feel slow,[0.7556714],,0
Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,Text Selector in Firefox for Android is Slow and Counter Productive.,[0.740631],,0,26,0,,,,Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,Text Selector in Firefox for Android is Slow and Counter Productive.,[0.740631],,0
"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.","when Firefox is not running and I send an intent to it from Google's home key swipe search, the website loads as the only tab, not a new one.",[0.7999172],,0,,0,,,,"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.","when Firefox is not running and I send an intent to it from Google's home key swipe search, the website loads as the only tab, not a new one.",[0.7999172],,0
"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.",We need a lock screen widget that launches a guest browsing session of Firefox for Android without unlocking the phone,[0.7790296],,0,,0,,,,"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.",We need a lock screen widget that launches a guest browsing session of Firefox for Android without unlocking the phone,[0.7790296],,0
"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.",Disable the webapps actor in Firefox for Android until it's properly supported,[0.7633896],,0,27,0,,,,"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.",Disable the webapps actor in Firefox for Android until it's properly supported,[0.7633896],,0
"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",[0.6876104],,0,,0,,,,"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",[0.6876104],,0
"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","Firefox Accounts reset password flow can confusingly lead to signing in on the browser, not the Android application",[0.6875073],,0,,0,,,,"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","Firefox Accounts reset password flow can confusingly lead to signing in on the browser, not the Android application",[0.6875073],,0
"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","when Firefox is not running and I send an intent to it from Google's home key swipe search, the website loads as the only tab, not a new one.",[0.68603575],,0,28,0,,,,"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","when Firefox is not running and I send an intent to it from Google's home key swipe search, the website loads as the only tab, not a new one.",[0.68603575],,0
"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.",Address bar can be selected and activates awesome screen although it is hidden and should not be there at all,[0.6716004],,0,,0,,,,"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.",Address bar can be selected and activates awesome screen although it is hidden and should not be there at all,[0.6716004],,0
"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.","if IP range 203.208.0.0 is blocked by firewall, Firefox waits forever onb loading any website. All add-on and account sync are already disabled",[0.6655524],,0,,0,,,,"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.","if IP range 203.208.0.0 is blocked by firewall, Firefox waits forever onb loading any website. All add-on and account sync are already disabled",[0.6655524],,0
"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.","Impossible to open external links from Twitter open web app (since they spawn new tabs, which don't work in open web apps)",[0.6479056],,0,29,0,,,,"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.","Impossible to open external links from Twitter open web app (since they spawn new tabs, which don't work in open web apps)",[0.6479056],,0
"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",no means to verify extension's authenticity when installing extension from a URL,[0.6680634],,1,,0,,,,"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",no means to verify extension's authenticity when installing extension from a URL,[0.6680634],,1
"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",Add-on install force restart is not completed,[0.64640415],,0,,0,,,,"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",Add-on install force restart is not completed,[0.64640415],,0
"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...","Can not install web apps; "" A coding exception was thrown and uncaught in a Task. Gecko: Full message: TypeError: aMessage.app.updateManifest is undefined""",[0.6315669],,0,30,0,,,,"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...","Can not install web apps; "" A coding exception was thrown and uncaught in a Task. Gecko: Full message: TypeError: aMessage.app.updateManifest is undefined""",[0.6315669],,0
I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,[0.7398072],,0,,0,,,,I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,[0.7398072],,0
I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,New code to kill already running Firefox instance doesn't work on my phone (kill: Operation not permitted),[0.7159411],,0,,0,,,,I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,New code to kill already running Firefox instance doesn't work on my phone (kill: Operation not permitted),[0.7159411],,0
I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,Firefox becomes unresponsive when accessing certain pages,[0.713405],,1,31,0,,,,I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,Firefox becomes unresponsive when accessing certain pages,[0.713405],,1
Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,Android Firefox - the 'urlbar-hiding-fullscreen-mode' doesn't work with 'fullheight-pages' that prevent touch scrolling,[0.72587323],,0,,0,,,,Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,Android Firefox - the 'urlbar-hiding-fullscreen-mode' doesn't work with 'fullheight-pages' that prevent touch scrolling,[0.72587323],,0
Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,Google Play store says Firefox not compatible with Nexus 7 tablet,[0.69582963],,0,,0,,,,Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,Google Play store says Firefox not compatible with Nexus 7 tablet,[0.69582963],,0
Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,Touchpad scrolling doesn't work on Chromebook,[0.6906724],,0,32,0,,,,Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,Touchpad scrolling doesn't work on Chromebook,[0.6906724],,0
"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",Firefox for Android mobile has a massive bug  Because it keep going close while I am busy on a website,[0.7524966],,1,,0,,,,"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",Firefox for Android mobile has a massive bug  Because it keep going close while I am busy on a website,[0.7524966],,1
"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",My canvas html5 pages work fine until the last update. Now I can only see a white page. In desktop work fine.  I think is because the sound in my page.,[0.7001989],,0,,0,,,,"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",My canvas html5 pages work fine until the last update. Now I can only see a white page. In desktop work fine.  I think is because the sound in my page.,[0.7001989],,0
"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",Custom Tabs load the page slow if the browser isn't in background,[0.69949794],,1,33,0,,,,"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",Custom Tabs load the page slow if the browser isn't in background,[0.69949794],,1
"The browser always crash for no reason, this version is whacked I swear.",Opening large image kills the browser and home screen,[0.7344888],,0,,0,,,,"The browser always crash for no reason, this version is whacked I swear.",Opening large image kills the browser and home screen,[0.7344888],,0
"The browser always crash for no reason, this version is whacked I swear.",WarriorForum.com website repeatedly crashes my browser,[0.7312182],,1,,0,,,,"The browser always crash for no reason, this version is whacked I swear.",WarriorForum.com website repeatedly crashes my browser,[0.7312182],,1
"The browser always crash for no reason, this version is whacked I swear.",Browser crashes continuously on restart after a flash crash,[0.69869816],,1,34,0,,,,"The browser always crash for no reason, this version is whacked I swear.",Browser crashes continuously on restart after a flash crash,[0.69869816],,1
1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Menu button from Show me more (Sync settings) in Fx Android doesn't work,[0.7251821],,0,,0,,,,1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Menu button from Show me more (Sync settings) in Fx Android doesn't work,[0.7251821],,0
1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Android menu button doesn't work when awesome bar or tab list popup is displayed,[0.72274053],,0,,0,,,,1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Android menu button doesn't work when awesome bar or tab list popup is displayed,[0.72274053],,0
1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,l10n-repack fails mobile repacks because of searchplugins in chrome,[0.71875405],,0,35,0,,,,1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,l10n-repack fails mobile repacks because of searchplugins in chrome,[0.71875405],,0
"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",Custom Tabs load the page slow if the browser isn't in background,[0.6776616],,1,,0,,,,"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",Custom Tabs load the page slow if the browser isn't in background,[0.6776616],,1
"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.","With ""don't keep activities"", possible to put the browser in a bad state where no pages load",[0.6684522],,0,,0,,,,"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.","With ""don't keep activities"", possible to put the browser in a bad state where no pages load",[0.6684522],,0
"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",My canvas html5 pages work fine until the last update. Now I can only see a white page. In desktop work fine.  I think is because the sound in my page.,[0.66561854],,0,36,0,,,,"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",My canvas html5 pages work fine until the last update. Now I can only see a white page. In desktop work fine.  I think is because the sound in my page.,[0.66561854],,0
"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI","Every time I minimise the browser and come back to browser it reloads the whole page ,as in use of more data",[0.73088914],,0,,0,,,,"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI","Every time I minimise the browser and come back to browser it reloads the whole page ,as in use of more data",[0.73088914],,0
"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI","""Guest Browsing is enabled"" notification now annoyingly blocks the URL bar for several seconds after entering guest mode (or after returning Firefox to foreground)",[0.7128347],,0,,0,,,,"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI","""Guest Browsing is enabled"" notification now annoyingly blocks the URL bar for several seconds after entering guest mode (or after returning Firefox to foreground)",[0.7128347],,0
"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI",On debug builds it takes a very long time to display the search engines in the Awesomescreen after first load,[0.7076032],,0,37,0,,,,"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI",On debug builds it takes a very long time to display the search engines in the Awesomescreen after first load,[0.7076032],,0
