feedback,issue,distance,28/150,,,,,9/50,,feedback,issue,distance,,24/100
"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉",make sure config for new android auto-backup is security sane,[0.75897616],0,,,2 stars now since nothing is getting fixed. Occasionally I'm getting playback errors on voicenotes and videos. When I reset my phone the same clip or video starts to play. VERY INCONVENIENT. Also I'm missing calls and not getting notified unless I open the app. Then it'll show the messages and that I missed a call. So if i don't open my app I won't receive anything? THAT'S ridiculous.,"Video gets stuck, chews up 2 gigs of mobile data and prevents me from writing messages",0,,what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,notification reply button doesn't always work for groups,[0.8083209],,1
"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",[0.7513621],0,,,"Not very secure. After hanging up on a video call with my wife, we were still able to hear each other. We both could not find a way to hang up. Killing the app didn't work. I had to go to settings and force quit the Signal application.",App fails to recognise correct password after phone dies until quit and reopened,0,,Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.80539095],,0
"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉",The Android share signal link links to only an ios download and isn't smarter. [ easy ish fix ],[0.7379925],0,,16,"I set Signal as my default app when my factory default Samsung text messaging app began delaying incoming messages by hours or days, or not delivering them at all. Signal does everything Samsung did, exept for scheduling later delivery. Signal adds more privacy and ability to make free international calls and video. I would often schedule Samsung SMS messages for next morning or Monday delivery. If Signal implements Scheduled Messages, I can think of no disadvantage to using it by default.","Renew MMS radio ""lease"" so it doesn't expire after 30 seconds and force socket disconnect",0,,Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,HTC One M8 - crashes when I try to send encrypted msgs.  (non-encrypted is fine),[0.7969291],,1
Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,Sending mssages to this specific contact almost always crashes textsecure,[0.81635],0,,,"I cant use this app because when I enter my phone number, it will send mme a coad but I can't find the edit box for the coad, beasically it is not accessible with talkback, plz fix this",Cannot establish a key exchange since phone upgrade and new Textsecure UI,0,,Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,Sending mssages to this specific contact almost always crashes textsecure,[0.7900415],,0
Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,Previous conversation's contact name messes up ellipsization when opened from notification,[0.77903414],1,,,"I am not getting notifications. I have granted all the necessary permissions, and turned on all notifications. However, at one place the only options are either to allow '3 notifications a day' or none at all.","Message reports Failed to send for all group members, but is received by all group members",0,,Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,hidden conversation when all messages deleted before writing new ones,[0.77881736],,0
Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,TextSecure SMS sent to previous Signal user now keep defaulting to encrypted,[0.7713314],0,,17,The new update doesnt alert on sms messages from other signal users in my contact list. I get no notifications on messages. Neither does my wife and she has an iphone. Fix this!! Gonna have to go back to standard messaging till you fix.,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0,,"I received odd texts after installing this app. Will not use as a default, too scary.",In-thread Notification incorrectly applied when screen is locked but conversation still open,[0.7997011],,0
i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,"SMS text messages sent without reception get stuck in ""pending"" state and never ""fail""",[0.75838387],0,,,Signal does everything I ask it to do except post videos longer than a few seconds. Fix that and you'll get another star.,Videos sent from Moto G4 can't be played without saving them first,0,,"I received odd texts after installing this app. Will not use as a default, too scary.","Loads of issues with new update - not sending messages, not clearing unread notification, and more",[0.786656],,0
i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,"Other party cannot see my video when I call them. When they call me, everything works fine.",[0.75235],1,,,"For a messaging app that is suppose to feature privacy as the main attraction, when you join it tells Everyone that you're there. The purpose of the app should be to allow you to choose who to share things with, and when. The calling system is also flawed as you don't receive a call, only a missed call notification. This hasn't been solved with updates.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0,,"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.7878542],,1
i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,The Android share signal link links to only an ios download and isn't smarter. [ easy ish fix ],[0.74804825],0,,18,"my main gripe with this is when i try to copy message text, the whole block is selected, and I can't just grab a number or address to paste somewhere. i like the app but i need that functionality for my job. would change rating if this is fixed","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0,,"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?","Can't make or receive calls with iPhones, missed calls appear but not like other cases have read alot of breads here, possibly compatibility problem with Huawei p20 pro",[0.77939355],,0
Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,Signal can text but call always fail,[0.8222178],1,,,App keeps crashing during the initial setup. Cant get past it! If the app stops working the second you open it then the app must be absolute garbage.,App crashes on start when new received message is waiting ,1,,Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,Sent timestamp on received SMS messages wrong by 1 hour.,[0.78389686],,1
Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,Sending mssages to this specific contact almost always crashes textsecure,[0.7839618],0,,,"I love this app, however I no longer receive notifications until I open the app. I was previously enrolled in beta and thought that was the reason for the lack of notifications. Please fix this.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,1,,Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,Signal user marked as non-signal user in conversation for 10-15 seconds,[0.76207525],,1
Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,"SMS and MMS send, but delivery is substantially delayed",[0.7823335],0,,19,0,,,,"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",Don't spam every single one of my contacts on Signal with a notification when I install the app,[0.77659184],,0
"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.","Disable the ""Check safety number"" entry in the conversations options instead of making it invisible as long as no messages have been exchanged",[0.8376111],0,,,0,,,,"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,[0.77596647],,1
"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",Signal is killed for using excessive CPU during backup (when phone is sleeping and not charging),[0.8048584],1,,,,,,,"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.",Sending mssages to this specific contact almost always crashes textsecure,[0.76588005],,0
"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",Can not log out of Text Secure on Samsung Galaxy 2 Unless turn phone off then on again,[0.79329556],0,,20,,,,,"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.",In-thread Notification incorrectly applied when screen is locked but conversation still open,[0.7451432],,0
"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Sent picture got stuck at 5% and now I can't write anything after it,[0.8248254],1,,,,,,,Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,TextSecure crashes randomly and stops receiving texts (with debug log),[0.86754984],,0
"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Pictures sent from Nokia 5 get heavily scaled down (13MP -> 3MP),[0.7643119],0,,,,,,,Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,TextSecure runs out of memory when scaling down image and fails to send the message,[0.8650221],,0
"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Crash on startup after updating to 4.50.5,[0.73084474],0,,21,,,,,Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,[0.7280737],,0
what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,Can't call some of my friends securely,[0.8278742],0,,,,,,,Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,Signal 4.19.3 crashed on startup after trying to restore the data,[0.71703434],,1
what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,notification reply button doesn't always work for groups,[0.8083209],1,,,,,,,So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,Wording of resetting secure sessions is probably inconsistent & definitely confusing,[0.8400246],,0
what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,"""In-conversation notifications"" setting doesn't really work as intended",[0.7950902],0,,22,,,,,So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,"SMS and MMS send, but delivery is substantially delayed",[0.8239591],,1
Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.80539095],0,,,,,,,"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.",Messages from contact going to wrong thread after DB update; All Media is missing media,[0.83416426],,0
Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,HTC One M8 - crashes when I try to send encrypted msgs.  (non-encrypted is fine),[0.7969291],1,,,,,,,"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.",Doesn't retain message mode for user and always resets back to encrypted ,[0.8309875],,0
Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,"With Google Play services requirement and SMS encryption disabled, TextSecure is just a SMS/MMS messanger?",[0.78342664],0,,23,,,,,Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,[0.7586586],,0
Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,Sending mssages to this specific contact almost always crashes textsecure,[0.7900415],0,,,,,,,Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,"SMS text messages sent without reception get stuck in ""pending"" state and never ""fail""",[0.75192696],,0
Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,hidden conversation when all messages deleted before writing new ones,[0.77881736],0,,,,,,,"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.","Can't make or receive calls with iPhones, missed calls appear but not like other cases have read alot of breads here, possibly compatibility problem with Huawei p20 pro",[0.81362414],,0
Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,"After a couple of calls ok, when making or answering call, the other party does not hear me",[0.77556884],1,,24,,,,,"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.",App fails to recognise correct password after phone dies until quit and reopened,[0.8109076],,0
"I received odd texts after installing this app. Will not use as a default, too scary.",In-thread Notification incorrectly applied when screen is locked but conversation still open,[0.7997011],0,,,,,,,"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.",The Android share signal link links to only an ios download and isn't smarter. [ easy ish fix ],[0.7776916],,0
"I received odd texts after installing this app. Will not use as a default, too scary.","Loads of issues with new update - not sending messages, not clearing unread notification, and more",[0.786656],0,,,,,,,"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.","Other party cannot see my video when I call them. When they call me, everything works fine.",[0.73699045],,0
"I received odd texts after installing this app. Will not use as a default, too scary.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,[0.7808037],0,,25,,,,,"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.",Signal calls fail sometimes since upgrading to Android 7.0 Nougat on Galaxy S7 Edge,[0.70334494],,0
"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.7878542],1,,,,,,,"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.",Sent picture got stuck at 5% and now I can't write anything after it,[0.692597],,0
"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?","Can't make or receive calls with iPhones, missed calls appear but not like other cases have read alot of breads here, possibly compatibility problem with Huawei p20 pro",[0.77939355],0,,,,,,,It is very worst application.it is frequently hanged. Messages are Updating very delayed.. sometimes messages are not Updating.We can't delete message.also we cant delete Messages from group.also no any group admin..any one can add any one to group.and also no any admin and ee cant remove any one from group.disabling feature is alos very bad.we cant forword ine message in different groups or person.overall its very bad application.please improve features as said above immediately.,"Bad encrypted message, in 1-on-1 chat, and also in never-used Note To Self ",[0.840908],,0
"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?","Swiping Signal out from the recent apps list closes the list, other apps don't have this behaviour",[0.77171254],0,,26,,,,,It is very worst application.it is frequently hanged. Messages are Updating very delayed.. sometimes messages are not Updating.We can't delete message.also we cant delete Messages from group.also no any group admin..any one can add any one to group.and also no any admin and ee cant remove any one from group.disabling feature is alos very bad.we cant forword ine message in different groups or person.overall its very bad application.please improve features as said above immediately.,"After restore: Groups are completely broken! - Getting messages, can't leave, can't write!",[0.83610225],,0
Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,Sent timestamp on received SMS messages wrong by 1 hour.,[0.78389686],1,,,,,,,Messages aren't received in background anymore. Something broke in recent updates. Have to open app to get messages to come through. UPDATE: Seems the issue is resolved.,After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,[0.838844],,1
Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,Signal user marked as non-signal user in conversation for 10-15 seconds,[0.76207525],1,,,,,,,Messages aren't received in background anymore. Something broke in recent updates. Have to open app to get messages to come through. UPDATE: Seems the issue is resolved.,Updating directory for new textsecure users only displays after leaving screen,[0.7998177],,0
Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,Some avatars take 10+ seconds to load - regression in 4.18.0,[0.7365017],0,,27,,,,,Works well but gives me 2 check marks immediately after sending my text. I know the receivers are not reading the texts so fast. Why 2 check marks?,"Bug: blocked contact sees message as ""delivered"" (two check marks)",[0.6921258],,1
"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",Don't spam every single one of my contacts on Signal with a notification when I install the app,[0.77659184],0,,,,,,,Works well but gives me 2 check marks immediately after sending my text. I know the receivers are not reading the texts so fast. Why 2 check marks?,[Registration] workflow improvement when registering using temporarily a second device: allow to use first verification code sent in first SMS,[0.691694],,0
"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,[0.77596647],1,,,,,,,"I used signal for my SMS messages, and now it crashes and I can't access my messages. Too bad if I had anything important I wanted to read! Removing this app from the store would improve the world more than its existence ever could.",TextSecure crashes when I launch it if it's locked and is in the recent app list.,[0.7872617],,1
"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.","Pressing back in Conversation doesn't return to conversation list, but just back to the previews app/launcher",[0.7625494],0,,28,,,,,"I used signal for my SMS messages, and now it crashes and I can't access my messages. Too bad if I had anything important I wanted to read! Removing this app from the store would improve the world more than its existence ever could.","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.7786289],,0
"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.",Sending mssages to this specific contact almost always crashes textsecure,[0.76588005],0,,,,,,,2 stars now since nothing is getting fixed. Occasionally I'm getting playback errors on voicenotes and videos. When I reset my phone the same clip or video starts to play. VERY INCONVENIENT. Also I'm missing calls and not getting notified unless I open the app. Then it'll show the messages and that I missed a call. So if i don't open my app I won't receive anything? THAT'S ridiculous.,"Video gets stuck, chews up 2 gigs of mobile data and prevents me from writing messages",[0.8243599],,0
"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.",In-thread Notification incorrectly applied when screen is locked but conversation still open,[0.7451432],0,,,,,,,2 stars now since nothing is getting fixed. Occasionally I'm getting playback errors on voicenotes and videos. When I reset my phone the same clip or video starts to play. VERY INCONVENIENT. Also I'm missing calls and not getting notified unless I open the app. Then it'll show the messages and that I missed a call. So if i don't open my app I won't receive anything? THAT'S ridiculous.,App fails to recognise correct password after phone dies until quit and reopened,[0.82309747],,0
"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.",Typing in Signal is very slow and Messges arrives some hours later sometimes,[0.74251413],0,,29,,,,,"Not very secure. After hanging up on a video call with my wife, we were still able to hear each other. We both could not find a way to hang up. Killing the app didn't work. I had to go to settings and force quit the Signal application.",App fails to recognise correct password after phone dies until quit and reopened,[0.7802556],,0
Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,TextSecure crashes randomly and stops receiving texts (with debug log),[0.86754984],0,,,,,,,"Not very secure. After hanging up on a video call with my wife, we were still able to hear each other. We both could not find a way to hang up. Killing the app didn't work. I had to go to settings and force quit the Signal application.","Video gets stuck, chews up 2 gigs of mobile data and prevents me from writing messages",[0.7636996],,0
Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,TextSecure runs out of memory when scaling down image and fails to send the message,[0.8650221],0,,,,,,,"I set Signal as my default app when my factory default Samsung text messaging app began delaying incoming messages by hours or days, or not delivering them at all. Signal does everything Samsung did, exept for scheduling later delivery. Signal adds more privacy and ability to make free international calls and video. I would often schedule Samsung SMS messages for next morning or Monday delivery. If Signal implements Scheduled Messages, I can think of no disadvantage to using it by default.","Renew MMS radio ""lease"" so it doesn't expire after 30 seconds and force socket disconnect",[0.7337763],,0
Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,Signal crashes after importing Backup: Couldn't open signal.db for writing,[0.86320037],0,,30,,,,,"I set Signal as my default app when my factory default Samsung text messaging app began delaying incoming messages by hours or days, or not delivering them at all. Signal does everything Samsung did, exept for scheduling later delivery. Signal adds more privacy and ability to make free international calls and video. I would often schedule Samsung SMS messages for next morning or Monday delivery. If Signal implements Scheduled Messages, I can think of no disadvantage to using it by default.","App will send SMS over data when recipient no longer has TextSecure installed, no way to revert back to unencrypted messaging",[0.729313],,0
Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,[0.7280737],0,,,,,,,"I cant use this app because when I enter my phone number, it will send mme a coad but I can't find the edit box for the coad, beasically it is not accessible with talkback, plz fix this",Cannot establish a key exchange since phone upgrade and new Textsecure UI,[0.876132],,0
Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,Signal 4.19.3 crashed on startup after trying to restore the data,[0.71703434],1,,,,,,,"I cant use this app because when I enter my phone number, it will send mme a coad but I can't find the edit box for the coad, beasically it is not accessible with talkback, plz fix this",Number registration (for push messaging) doesn't work with Google Voice,[0.8728112],,0
Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,"Android app stopped working 3 days after porting my phone number, desktop still working fine",[0.7139982],0,,31,,,,,"I am not getting notifications. I have granted all the necessary permissions, and turned on all notifications. However, at one place the only options are either to allow '3 notifications a day' or none at all.","Message reports Failed to send for all group members, but is received by all group members",[0.7203109],,0
So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,Wording of resetting secure sessions is probably inconsistent & definitely confusing,[0.8400246],0,,,,,,,"I am not getting notifications. I have granted all the necessary permissions, and turned on all notifications. However, at one place the only options are either to allow '3 notifications a day' or none at all.",No individual contact thumbnails/pictures after restoring backup [Signal 4.17.3],[0.71278],,0
So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,"SMS and MMS send, but delivery is substantially delayed",[0.8239591],1,,,,,,,The new update doesnt alert on sms messages from other signal users in my contact list. I get no notifications on messages. Neither does my wife and she has an iphone. Fix this!! Gonna have to go back to standard messaging till you fix.,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.8606545],,0
So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,Adding devices with the dark theme - Confirmation text very hard to read.,[0.8139837],0,,32,,,,,The new update doesnt alert on sms messages from other signal users in my contact list. I get no notifications on messages. Neither does my wife and she has an iphone. Fix this!! Gonna have to go back to standard messaging till you fix.,"Never selected a PIN (I think) but asking for one on the new phone, no access to the account on the old one",[0.8582337],,0
"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.",Messages from contact going to wrong thread after DB update; All Media is missing media,[0.83416426],0,,,,,,,Signal does everything I ask it to do except post videos longer than a few seconds. Fix that and you'll get another star.,Videos sent from Moto G4 can't be played without saving them first,[0.6922548],,0
"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.",Doesn't retain message mode for user and always resets back to encrypted ,[0.8309875],0,,,,,,,Signal does everything I ask it to do except post videos longer than a few seconds. Fix that and you'll get another star.,TextSecure uses full-fledged notification sounds for in-thread notifications. Should use short dedicated sounds instead.,[0.68279195],,0
"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.","All MMS since last update show ""MMS download failed!"" error",[0.8268169],0,,33,,,,,"For a messaging app that is suppose to feature privacy as the main attraction, when you join it tells Everyone that you're there. The purpose of the app should be to allow you to choose who to share things with, and when. The calling system is also flawed as you don't receive a call, only a missed call notification. This hasn't been solved with updates.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",[0.7889305],,0
Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,[0.7586586],0,,,,,,,"For a messaging app that is suppose to feature privacy as the main attraction, when you join it tells Everyone that you're there. The purpose of the app should be to allow you to choose who to share things with, and when. The calling system is also flawed as you don't receive a call, only a missed call notification. This hasn't been solved with updates.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,[0.78651834],,0
