nothing,bug,vcl
,Invalid (ignored?) files cause protocol error,
,Ubuntu/Debian package archive,
,Conflict Resolver feature request,
,"In sync percentage should be weighted to folder size, not just average of folder completion",
,[Low Prio][Docu Bug] Systemd Autostart: No file copying required?,
,Memory and CPU usage is prohibitively high,
,[0.11.0] Error creating discovery client  udp6://announce-v6.syncthing.net:22026 Unsupported scheme:,
,Corrupted folder states and device stuck in sync after pausing and adding files during the initial sync,
,rescanning after OS sleep,
,Local discovery port number should be configurable,
,Memory usage increases over time,
,DCIM folder not syncronized,
,syncthing error puller.go:352: pull: removing failed file,
,"""Support bundle"" download",
,Error for broken .stignore files,
,Sync problems when cell phone node is connected,
,"Invalid names are allowed and ""auto accepted"" in folder root path on Windows",
,Prioritising relay ports,
,Document exit codes on manpage,
,Consider moving configuration to a proto contract,
,Failed to discover gateway no gateway found,
,"new ""staggered versioning"" interval for years: 1 version per month",
,"Windows, start without the icon?",
,Consider switching to Go modules,
,Include-file with non-English code page,
,Folder isn't making progress,
,"""Out of Sync"" folder status can be misleading",
,Not sending symlinks to old client (...) - please upgrade to v0.14.14 or newer,
,"""Out of disk space"" error with plenty of free disk space",
,Protocol tests are too slow,
,Upnp Issue,
,"Remote device ""in sync"" percentage should reflect partially downloaded files",
,[bug] Removed devices are synced later on,
,show QR-Code in Web-GUI,
,growl notification,
,lib/rc: Unreleased lock,
,Default path set when editing existing folder without label,
,[Feature request] Archive mode for file versioning,
,Incorrect sequence entries created spontaneously,
,Symlinks as folder root broken on Windows,
,revoking the usage of tls in the gui webinterface,
,"Discovery server aliases default-v4 and default-v6 get ""v2/"" prefix added on to them in migration v0.12->v0.13",
,The protocol should be transport agnostic,
,Cannot delete node from web gui,
,Prefer local link,
,Facilitate database checking / interpretation by caching ignores,
,Automatically ignore nested folders synced otherwise,
,LocalVersion called for nonexistent repo Calibre,
,After-icon line breaks in GUI,
,Feature Request: Turn syncthing off without stopping the binary,
,the deleted remote device will appear again,
,New chmduquesne/rollinghash breaks tests,
,gui: Unshared folder with error should show stopped,
,sync while file changes,
,'Latest Change' does not show the latest change,
,Sort out http caching strategy,
,Web Client doesn't reconnect after Computer Suspend,
,Opening browser should use Start not Run,
,Moving files to subfolders causes new transfer instead of move,
,Sort folders and devices alphabetically by name in Advanced Configuration,
,Firewall UFW rule does not work,
,Beta channel for testing,
,Syncthing ignores x-forwarded-proto,
,glibc vulnerability,
,Add DownloadProgress and any other missing event documentation to Discourse,
,info output should advertise address of gui,
,"Crash or hard shutdown can case database inconsistency, out of sync",
,Deleted file that existed locally only reported as locally changed,
,There should be a setting to disable the weak hash while scanning,
,panic: runtime error: invalid memory address or nil pointer dereference in loadIgnoreFile,
,"""Global discovery: unsupported scheme udp4"" on Windows 7 - Discovery broken",
,"Syncthing reports bad version, confusing other clients",
,Setguid permission is not preserved on new subfolders,
,"Request from ... for file ... in unshared folder ""...""",
,On the remote nodes box Upload Rate and Download Rate labels and icons should be swapped,
,Fantastic App,
,"""pull: no such file"" for existing untouched files",
,Unignoring files only changed on this device after deleting propagates deletion to others,
,Can't reach device from outside of my network,
,SSL errors result in unusual browser behaviour,
,Allow restarting 'stopped' folders without restarting syncthing (better removable disk support),
,Incorrect out-of-sync/locally changed status indication on folders,
,Random dead-locks,
,Out of sync problem,
,Automatic upgrade: local error: tls: record overflow,
,cmd/strelaysrv: Debian package,
,local node is disconected,
,Progress updates are ignored for send only folders,
,renaming reupload the entiere subfolder,
,Mark sync-conflict files with both devices participating in the conflict,
,building with GOPATH,
,cli command request: output config file path,
,"""Folder Path"" autocomplete should be case-insensitive",
,Out of Sync happens often,
,Syncing an existing file will change its inode,
,gui: notice needs html link,
,Variable names appearing instead of their values; Firefox security warning,
,panic: sequence index corruption,
,Preserve mode of files,
,Temporary files should be hidden and appropriately named on Windows,
,FATAL: open NUL: The system cannot find the file specified.,
,Endless restart,
,[0.11] UPnP not working between a Xubuntu 14.10 laptop and a D-Link DSL-2730E router,
,"maxSendKbps is not treating the input value as bits, but rather bytes",
,Deal with nested folders,
,Add support for portable disk as sync device,
,Ignore file accountability,
,Connection Error from fresh install on Ubuntu 18.04,
,/rest/system/status returns empty response during startup,
,"""Smallest first"" order doesn't work",
,API + UI device last seen is empty/Never,
,"better relay choice: ""patch"" suggested",
,Files in .stignore are being downloaded repeatedly,
,usage: Report how useful weak hash is,
,Log file grows too large,
,folderconfiguration.go crash on creating new config on Android,
,Device shown as connected after connection drop,
,API is unclear for terms like 'folder',
,"连接类型被限制在Connection Type ""Relay""并且速度受限",
,Preview anonymous report,
,Device name in conflicts?,
,Sync X first,
,WebGUI port stops listening,
,Machine impossible to use during Syncthing Scan,
,Connection Error and GUI almost unusable,
,Add systemd unit to snap packages,
,Config directory should use platform default,
,Hashing performance degradation when using large blocks,
,"Feature Request: Option for ""Rarest First"" for File Pull Order",
,BUG: Changing the Device Name does not change Remote Device Name peers see,
,panic: close of closed channel,
,multiple guiAddress and listenAddress not supported,
,Support autoupgrades,
,Cleanup temp files during pull only once an hour,
,http: panic serving 127.0.0.1:41692: leveldb: not found,
,Duplicated offsync-files not counted,
,is 0.13 backwards compatible with 0.12?,
,QR Code functionality not working for ID,
,Linux build crashes Netgear WNCE2001 when using Ubuntu,
,REST API RESTART Response [403] CSRF Error after update system config,
,Unable to sync soft links,
,Synthing generates conflicts for identical files,
,syncthing 0.14.8 fails on f23/Go 1.5,
,v0.14.41 breaks compatibility with OS X 10.7.5,
,[Feature request] Single run,
,Nodes show same transfer rates,
,Remote Device stops reconnecting,
,Panic detected fatal error: out of memory,
,sleep/standby on gnomeshell,
,Syncing same folder to multiple paths on one machine,
,Unable to share (partially) R/W folder,
,Puller tries to chmod and fails,
,"Red ""Delete"" button is scary",
,Could the new gui persist collapsed/expanded sections?,
,"Configuration option ""autoAcceptFolders"" for devices isn't documented",
,Can it be forbidden to automatically upgrade?,
,Refreshing gui shows old notices which have been acknowledged,
,Add an option to share subfolders?,
,Add ability to move storage locally,
,Unknown Deadlock on OSX,
,Web GUI updates too fast,
,Symlinks marked as removed on windows,
,Renaming a file in windows actually triggers a copy,
,OSX: Local discovery over IPv6 unavailable,
,Do not sync where >% files have changed,
,"syncthing + syncthing-android, stuck on blue ""100%"", android CPU on 100% permanently",
,"Add ""Ignore Permissions"" override in device settings",
,"possible ""context deadline exceeded"" due to user misconfiguration",
,panic: runtime error: invalid memory address or nil pointer dereference,
,Scan problem within single unignored subdirectory prevents bidirectional sync,
,Discosrv - 429: Too Many Requests error,
,Repo needs files but state is idle,
,Repeated failures to sync home directory due to short lived temporary files,
,GUI displays text (key value pairs?) at the bottom after conflict is detected,
,"Usage reporting prompt doesn't display properly, greying out the UI",
,Folder label change should not trigger restart prompt,
,preserve hard links between files in the copies.,
,sec: Any website can access API,
,Feature request: Option for maximum folder size,
,[Linux] Are periodic full rescans really needed when FS watcher is enabled?,
,Index database should not be stored in ~/.config directory,
,"Password can only be set in ""Advanced Configuration"", not ""Settings"".",
,.stignore not replicated to other nodes in the cluster,
,.stfolder filename is incompatible with Sharefile,
,Stat file before syncing to reduce chance of missed conflict,
,File case renames create duplicate files on receive only end,
,minHomeDiskFreePct is still present in fresh configs,
,"Wrong deleting old files with ""Staggered File Versioning"" option",
,"""Self"" device still available/shown in ""Edit Folders""",
,Marker folder convenience improvement,
,"Gui should show what ""out of sync"" files are (and why)",
,Syncthing crash,
,Tests should run under race detector,
,v0.13.5 -no-upgrade build now requires gcc,
,HTTPS connection to web UI is not secure,
,Syncthing on EC2,
,Version 0.14.15 regression configuring remote device address: port required?,
,Setting up *no* Ignore folder behave different on MAC / WIN if .stignore already exists in directory,
,memory allocated by OS not in usable range  - out of memory error,
,panic: nil pointer dereference in usage reporting,
,Auto-update chose wrong architecture,
,Mac OS X 32 bits build is not working,
,Syncthing stops on Android Q beta 4,
,Announce internal and external address to the global discovery service,
,Javascript error in connection with new device notification,
,Starting Web GUI on ... blocking,
,(De)select all not working in add device dialog,
,Idle vs Syncing,
,"Feature request: Show me the most recently synced files, both globally, and per share/device.",
,0.11 doesn't work on windows,
,"purpose of UI elements in ""Out of Sync Items"" window",
,Panic in jackpal/gateway.DiscoverGateway,
,Percentage bug between sender and receiver,
,Subfolder wrapped in square brackets is not ignored when added to ignore patterns,
,Global Exclusions,
,Systemd status=217/USER when starting as www-data,
,Date and time of last scan,
,How to compile to MIPS architecture?,
,Provide /post/rescaninterval,
,"GUI does not show ""Failed Items"" (just a loading icon) if the puller isn't running?",
,panic: nil pointer dereference because (*db.Lowlevel)getMetaAndCheck() returns nil,
,Problem with the servers!,
,Select what files to download,
,Option for Kb/s,
,Syncthing on WinXP starts...then stops,
,stdiscosrv devices on same network report LAN IP,
,New shared folder labels are displayed as empty in the Korean Web GUI,
,Race condition with relay/direct dial,
,Snap package feature request,
,Beeps randomly on Windows,
,Syncthing is using too much memory,
,"External File Versioning command not called on ""add file""",
,"Devices stay unconnected (""connection attempt failed"")",
,Make initial node id exchange easier,
,GUI passwords shouldn't be stored in plaintext,
,High CPU usage by child process of a Syncthing service,
,File case change (and other unknown condition) causes sync issue,
,"Incorrect out-of-memory error, crash",
,"Running into ""operation not permitted"" errors due to filename",
,Panic when connecting to device with auto accept and paused folders,
,“xdr read: bytes field exceeds size limit”,
,[Feature Request] Relay and Backup point,
,Disable GUI and make API available on unix socket,
,Sync folders only at certain times of the day,
,Fatal eror invalid heap pointer on windows 7 32 Bits,
,Epic mixup of files after disk restoration,
,Copy name and IP Address while introducing,
,Logo renders as question mark in v0.10.28,
,@eaDir - Unexpected items,
,docker-compose,
,Local Additions after switching from SR to RO back and forth and wiping the database,
,"""Unlinked"" devices try to connect (Laptop <-> smartphone)",
,infinite filesystem recursion due to missing file id,
,Syncing percentage passes 100%,
,panic: incorrect length of byte slice representing device ID,
,Folder Rescan upon start up despite setting: no folder watching and long rescan schedule,
,Simplified Chinese garbled,
,Out of sync panel layout overflows,
,"When adding ignores at folder creation time, .stignore file can't be created",
,Limit CPU usage,
,config.xml constantly gets overwritten on Mac OS X (Syncthing Version is: v0.14.25),
,Deletion of directory containing ignored files is not synchronized to other devices,
,Syncthing shouldn't start syncronizing untill all machines are done scanning,
,"Rename ""local version"" to ""sequence number""",
,Synchronisation stops in repository X if the node list is wrong for repository Y,
,Current file pull mechanism is inefficient for clusters with >2 members,
,panic: runtime error: invalid memory address or nil pointer dereference,
,panic: proto: wrong wireType = 1 for field Type,
,"Copy: Warning message inaccurate: Web interface: ""Remove folder""",
,Sync Fails When Replacing File with One of Same Name,
,Start Syncthing without console window,
,Changing a folder in web UI removes introduced-by info,
,cmd/stdiscosrv: no certificates: empty certificate header,
,[v0.10-beta] deleting file fails when it's already gone,
,Anti-Introducer Flag,
,gui: Save settings broken since #7530,
,"File not detected due to watching reporting events on old, deleted path",
,fatal error: out of memory,
,repo and nodes not displayed after automatic update to 0.10.0,
,Old device removed from introducer isn't removable from other devices,
,p2p vpn integration via ntop n2n,
,"""Ignore Patterns"" panel Save/Close buttons not always accessible",
,"Folder Type of PC-A :Send Only,Console of PC_B shows directory is not null,can not delete",
,Synchronize with mounted USB HDD,
,Web gui rendering issue on firefox when zoomed out - checkboxes,
,Android: forever 'Loading...',
,"Users shouldn't be forced to ""reset database"" after auto-update",
,Ignore permissions option not working as expected,
,Android app: Option to exclude hidden files,
,New Feature Request: Allow Devices to Override IP reported to Discosrv (for NAT/self hosted discosrv environments),
,Testsuite timeout is too small for slow systems,
,Transport-Mode,
,enhancement idea - shutdown and close,
,Does last seen show?,
,notify: intermittent test failures depending on system load,
,"Remote device out of sync items shows ""0 items, ~0 B""",
,data.syncthing.net request (new metric to gather) rescan interval,
,Web GUI requests password in an uncomfortable way,
,"Optimize the two device, downloading large file case",
,My brain is buggy because of this too much perfect software.,
,"Many Sync conflicts are generated, while the file is modified on only one Client",
,"""Release Notes"" link in ""Major Upgrade"" modal dialog points to latest release, not the one to which you're upgrading",
,Mac version,
,"""Override changes"" should use less memory",
,Data requests block API requests that also touch the filesystem,
,Syncthing does not use correct folder,
,Syncthing update to 1.16 fails on Debian Bullseye,
,File renamed to a directory name causes sync to fail,
,Move special .st* files into a .syncthing directory,
,Does not exit on GUI shell logout,
,"Edit Folder UI displays default ""Full Rescan Interval (s)"" value instead of the actual one",
,syncthing -upgrade doesn't compare version numbers correctly,
,Also offer folder setting Receive Only ?,
,"syncthing-linux-386-v0.11.21 immediately coredumps, illegal instruction",
,GUI should indicate which files are out of sync on remote devices,
,"Feature request: Send-only folders with deletion (""move"" mode)",
,Mac OS X - Menu Bar Item and Dock Icon (with context menu),
,Default folder in v1.1.0 isn’t created with useLargeBlocks = true,
,question: how to get up-to-date info via REST interface,
,1,
,panic: leveldb: not found,
,upgrading: rename syncthing.exe -> syncthing.exe.old,
,junctionsAsDirs requires Syncthing restart to trigger,
,lib/nat: Data race,
,"Expected behavior of the ignore pattern ""dir/""?",
,Is it possible that syncthing may have reverted a file back to an earlier version?,
,minimize to system tray windows,
,A file I deleted during transfer leaves errant ~syncthing~.{filename}.tmp,
,slow sync on armhf (cubietruck),
,Syncthing changed modified times of whole folder,
,"cmd/syncthing: ""Access-Control-Allow-Origin: *"" header is missing",
,v0.10.7: WinXP x86 panic: Failed to find CreateSymbolicLinkW procedure in kernel32.dll,
,feature request: read only node (all changes here will be overwritten by other nodes),
,GUI log tailing is broken if closed when scrolled up,
,RPM for Mageia,
,Syncthing only syncing folders (not files),
,Feature request: Ignore depending on file size,
,Nice worker processes,
,Hostnames resolving to localhost are not considered 'local' in remote access warning,
,Change default time for keepTemporariesH,
,Cannot open GUI on the server,
,Syncthing fails to load javascript when using reverse proxy behind a uri path,
,Device stuck at 99%,
,Syncthing does not respect <symlinksEnabled>,
,Some special characters in ignore patterns should be escaped.,
,on QNAP 64-bit-kernels the amd64 build does not run,
,Connection ... closed: unmarshalling message: proto: wrong wireType = 2 for field BlockIndexes,
,Keep track of all the summary values showed in the GUI so that a full database scan is not needed on load,
,Folder Types ignored,
,UPnP port forward should be refreshed periodically,
,maxFolderConcurrency value not respected when more folders are already being scanned,
,Panic after changing the repository settings (staggered versioning),
,tooltip for status symbols in gui,
,crash with panic contiuously on MacBook Pro 2008,
,"syncthing always uses ""[::1]:53"" as DNS server even when it's not a configured DNS server",
,Can't finish (master) folder sync,
,Failed upgrade leaves a syncthing<number> file in program folder,
,option for bits/s,
,The path in the gui is not the path in my config file (trailing slash issue),
,Deleted files replaced with empty files.,
,Syncthing extremely slow on ntfs-3g?,
,Usability miserable,
,Syncthing 1.7.0 performs UPnP with NAT traversal disabled,
,Buffer nodes,
,Unknown version of the protocol,
,"Capital letters are not syncing and causing ""Not synced status""",
,Building fails when host name includes spaces under macOS Catalina,
,cmd/stdiscosrv: test suite sometimes seg faults on OpenBSD,
,"panic: Blocks is nil, but BlocksHash is not",
,Reduce memory/CPU footprint,
,cant delete Repository,
,Feature: Improve syncthing behaviour after wake from sleep,
,"More efficient sharing of subfolders, folders within other shared folders",
,0.9.13 Android: Nodes shown wrongly as checked,
,Win7 32 cannot map pages in arena address space,
,Modification dates are wrong,
,UI for debug levels and log access,
,Master (read only) repo becomes out of sync.,
,Can i sync with some cloud service as google drive/Onedrive ...?,
,Fedora 33 (x86_64) - Syncthing crashes and fails to start,
,Speed up file watcher,
,Ошибка при втором обновлении версии,
,scroll in out of sync files listing,
,Transfer rates don't change on remote devices,
,Autostart - console is displayed although -no-console,
,panic: leveldb/table: corruption on table-footer (pos=2167776): bad magic number [file=032384.ldb],
,Docker image fails when PGID set to existing group,
,Memory allocation panic,
,Check if filesystem=BTRFS and change SQLite mode to WAL,
,"Android app constantly pops up ""anonymous usage report"" message, prompts for restart",
,Syncthing update not allowed due to permission issues with files in /usr/ directory.,
,ensureDir fails in cmd/syncthing/main.go when checking config dir on Android,
,new GUI,
,Default Folder uses different config than user-created folders,
,api: /rest/system/browse behaves strangely on Windows,
,"v10.5 and v10.6 panic on Synology with ARMv5TEL, exit status 2",
,Add an option to restore cpu/ram usage,
,Folder information is too long for the label,
,Database migration can lead to missing blocks error,
,Out of Sync with (modified) Filedate 01.01.1601 on NTFS Drive,
,"Erroneous ""folder has insufficient free space"" error.",
,v1.8.0-rc.2: Versioning configuration is reset during upgrade,
,ChaCha priority detection logic broken,
,Consider improving/simplifying case-conflict handling,
,"When one manages to get Syncthing working, bookmarking its browser tab in firefox results in an icon indicating an error",
,"""Out of Sync"" errors if syncing with android",
,Custom address stopped working,
,0.9.15 Sync progress can still show negative percentages,
,avahi/zeroconf support,
,Allow nodes to behave as transfer nodes only.,
,UPnP not retried if unable to detect UPnP device when Syncthing started on boot.,
,Connections Dropped Under macOS 10.12 Sierra,
,Improve error message about folder marker outside of folder,
,Adding folder using Long UNC path causes stack overflow,
,Make testing easier: allow upgrading within non-release versions,
,GUI unresponsive or unusable with many folders or devices,
,Limit concurrent pulls,
,Option to enable/disable traffic encryption per repo when syncing over LAN,
,Local Additions when deleting file after changing folder type from SR to RO,
,is not working on ubuntu 15.10,
,"Writing Filename with colon "":"" gives ""failed invalid argument"" in log (exfat fat32 filesystem)",
,syncthing failure,
,Please specify CC-BY-SA files,
,syncthing.old.old.old.old.old.old.old.old.old.old,
,TypeError: Cannot read property ‘urAccepted’ of undefined,
,Relays get connection refused behind a SOCKS proxy,
,Parallel dial doesn't dial all addresses,
,"/rest/system/connections doesn't include inbps, outbps.",
,discover udp6://announce-v6.syncthing.net:22026: broadcast: GetAddrInfoW: No such host is known.; trying again,
,Show list of locally changed files for receive only folders,
,unable to compile syncthing (core) 0.14.28 with go 1.6,
,"GUI displays Syncing (100%, 0 B) when syncing byte-sized files",
,[Feature Request] Wireshark disector for syncthing,
,Enable mips build,
,Enhancement: after-sync hook script,
,Prevent leaking log info into stack traces,
,Increase default strelaysrv network buffer size,
,Syncthing ID reset on server reboot can we get an export and import backup feature?,
,puller: We should not create conflicts of conflicts,
,Add YYYY-MM-DD to log,
,Interface irritation,
,iOS App,
,Use a database for the repository index...,
,The invalid global stuff results in a full index exchange,
,enhancement: per-folder rate limiting,
,"WebUI: Device's ""Folders"" field tooltip should wrap into multiple lines if exceeds certain length",
,Feature: Filter events by type,
,https broken in Firefox 31 (sometimes?),
,Proper font missing,
,arm - Invalid argument,
,Host check error,
,Alternative folder name,
,Ugly looking font for Turkish,
,Memory lock error on Debian 11,
,Folder label missing from folder path when adding new folders,
,Discovery Server binary is in Repo,
,Changed file (keepassxc) overwritten with previous version,
,Syncthing on FreeBSD 11.0 freezes machine,
,Web interface keeps opening (Mac),
,Session IDs and CSRF tokens should be cryptographically secure,
,Change Web UI based on prefers-color-scheme,
,[Cosmetic] No favicon for bookmark,
,[v0.10.0-beta] failed pulling file,
,Panic 0.10.3,
,v0.11: Device ID empty when accepting folder,
,Execution permission is ignored in Linux partition,
,osutil.GetLans() and Go 1.5,
,Clean up after days feature for Simple File Versioning,
,APIs needed for syncthing-android,
,Repositories should be sorted in the web gui,
,OCI Runtime Failure With Docker Image,
,Incorrect file info passed as argument to delete existing file,
,no AAAA dns entry for relays.syncthing.net,
,Syncing is stuck,
,"Log needs to be available through web interface and not just stdout, e.g. ""Actions > Show Log""",
,Optional backup+notification of unusual file changes preventing unnoticed loss/changes,
,Add support to sync (single) files,
,TypeError: Object doesn't support property or method 'startsWith' in IE 11 / Windows 7,
,Dropped repositories followed by corrupt/missing database on upgrade to v0.9.17 (upstart),
,[v0.13-beta] remote completion > 100,
,Do deleted files resync.,
,index db too large and too old ldb files,
,Failure to delete devices,
,Wrong SHA256  in sha1sum.txt.asc for currently latest version,
,REST API: Incorrect completion status on remote device,
,Select repos to share with in node editor dialog,
,Improve settings handing in GUI,
,Config tests fail with recent d4l3k/messagediff version,
,Upgrade to minor and major versions,
,UTF-8 tests failing on Windows,
,"Crash in leveldb: ""panic: key not found""",
,Moving content between two root folders causes re-upload,
,cmd/strelaysrv: [-listen] and [-status-srv] parameter issues inconsistent for v4/v6,
,Unable to execute on WD My Cloud (armv7l),
,Consider changing test struct diffing tool,
,"Show ""nearby devices"" in add device dialog",
,mac -no-console from code how to set,
,Data race in Windows fs watcher tests,
,stops after ~100MB synced,
,Remove unnecessary RAM/CPU stats from GUI,
,Send TLS SNI to relay server,
,Race in tests,
,"allow ""root user"" nag to be disabled",
,Cross platform path name,
,Global changes should load when button clicked,
,Rename .stfolder to something more obvious,
,Last File Received Not Accurate,
,"Better distinction between actual transfers, vs local cloning",
,"Not able to solve ""Panic: leveldb""",
,syncthing -upgrade and -upgrade-check return 404 Not Found Error,
,Syncthing prevents suspend,
,"Error: ""panic: runtime error: invalid memory address or nil pointer dereference""",
,Information about OneDrive reparse point problems,
,ST randomly disconnects and stays that way for good,
,Handle conflict for files,
,#NAME?,
,Force folder update,
,More detailed sync logs in the web gui,
,#NAME?,
,Incorrect behaviour of internalScanFolderSubdirs,
,protocol: We somehow leak state between connections,
,SIGILL: illegal instruction,
,'Last File Synced' rename to 'Last File Received',
,MIPS version,
,panic: creating temporary database: invalid argument,
,Connection switching (relay->direct) causes crash in index sender,
,Syncthing blocking sleep,
,Wrong 30-days-interval in staggered versioning,
,Size mismatch when installing debian package,
,Poor performance on Raspberry refreshing webpage on laptop,
,Ignore permissions ignored,
,Sudden database panic that I don't recognize from before...,
,upload only changes made to the file instead of the entire file,
,0.14 stuck syncing,
,panic: runtime error: invalid memory address or nil pointer dereference,
,Android: Crash on startup,
,Incorrect remote need if it is the first to update the index,
,Bad interaction between systemd unit and home directory encryption (Failure on home directory),
,"folders identified as files fail to sync: puller, rename, directory",
,License / Question: Syncthing icon in Android icon pack?,
,Random crashes with status=3/NOTIMPLEMENTED,
,Specify a web root for the WebUi,
,Beorg can't create calendar to sync,
,release channel - add syncthing-inotify,
,Allow IP TOS marking,
,7:48:32: Global discovery: lookup announce.syncthing.net: no such host; trying again in 1m0s,
,suspicious looking code in internal/files/leveldb.go,
,"Override Changes still broken after 3 years, aka AudriusButkevicius closing tickets without fixing",
,Simple Syncthing invocations take a long time to run,
,Add top level Hash field to FileInfo,
,Receive-encrypted fails after a while: file with empty block list,
,"Lots of ""Syncing (100%)"" nowadays",
,syncthing doesn't start if a repo disk is not mounted,
,Running out of fd:s under Linux,
,gui: List of files and folders,
,[Bug] No full indexing of big folder in macOS High Sierra 10.13.6,
,Deleted locally changed items still shown as locally changed,
,Scanning / syncing with Syncthing Android is extremely slow - breaks the app,
,Ignore patterns with non-ASCII characters causes out of memory crash,
,#NAME?,
,sycnthing deleting random files and directories since 0.14.7,
,Configuration not saved after restart,
,Trying to run syncthing on a FreeBSD system with W^X enabled,
,Selective Sync,
,Ignore patterns in web UI aren't reloaded if only comments change,
,Search in .stversions for available chunks,
,Adding new folder: Autocompleted path not applied,
,0.9.13 - no child processes,
,Make countRestarts and loopThreshold configurable,
,Permission and timestamp weirdness,
,Language selector expands behind lower links bar/frame,
,Documentation of log-file options,
,A man-in-the-middle attacker can cause clients to downgrade,
,Versioning params in config flip flop in order,
,A little bug in REST API,
,web gui notices show time in seconds since start,
,Improve free space checking when syncing,
,panic: runtime error: slice bounds out of range at startup,
,REQUEST: Alphabetical sort by Repo ID,
,Very rapid file changes can result in sync conflicts,
,File system watcher does nothing on sync folders that are at the drive root,
,Update iOS App,
,Bitsync type downloads from multiple nodes at the same time.,
,Having trouble using mounted -home=/config directory in docker,
,Could not add chinese Folder ID,
,"Stale state info with ""Send only"" changes?",
,Upgrading a running syncthing from CLI doesn't work,
,Suggest setting up auth on initial startup,
,Accessibility issue on chrome,
,Cygwin version of Syncthing,
,Not upgrading,
,Node introducer adds duplicate nodes,
,"Ability to ""hard-ignore"" files, with a default set of extensions.",
,Stalled scans need better UI representation,
,The ignore pattern * always ignore the  multiple directory levels,
,Relaysrv: panic: send on closed channel,
,Sharing Folders via Device menu not syncing with folder itself,
,"Panic/crash when relaysEnabled=false, localAnnounceEnabled=true",
,Tiny file synchronization is super slow,
,Log entries showing IP addresses should show connection type,
,Use dep,
,Stopped folder not synchronizing after a rescan,
,2020-06-20 13:17:50: upgrading: gzip: invalid header,
,Ram usage for cache,
,Too many open files,
,"POST /rest/scan failing with ""no such repo""",
,"syncthing says ""up to date"" but two clients without changes (kdbx)",
,"panic ""unreachable"" in filequeue (on mutual connect?)",
,Syncthing for android crash on Cyanogenmod,
,WebUI lock out with non-ASCII password,
,Consistency checks on-demand (Rescan /w checksums),
,"syncthing v0.10.30: Failed to load, Connection Error",
,Can Linux/Debian installation be simplified?,
,"panic: leveldb: iKey ""\x01"", len=1: invalid length",
,can't delete device,
,Feature: More meaningful errors in the GUI,
,Ability to ignore files with glob patterns,
,Sharing a new folder results in remote out of sync (metadata tracking issue),
,0.14.44 crash,
,lost config.xml.v16 with lots of device id and folder path,
,Allow better peer connection control #suggestion,
,Panic,
,Error: File name ... is not in UTF8 encoding; skipping.,
,Windows binary no longer signed,
,Progress emitter doesn't start from config change if disabled at startup,
,Feature request (with patch): redirect events audit file to stderr,
,"On startup, Fatal error: rgentraceback before goexitPC initialization",
,"""Fatal error: unexpected signal during runtime execution""",
,service gets killed after log off windows server,
,CPU and hard drive utilization limit per folder,
,strelaysrv should be able to bind a to a specific address,
,Web GUI Connection errors since 0.14.18,
,TestFolderRestartZombies fails on OpenBSD.,
,Panic: runtime error related to KCP,
,Windows syncing is broken,
,FATAL: Cannot open database,
,Getting sec_error_unknown_issuer on Firefox,
,Document behaviour of -reset-database,
,Sync error: filename is invalid,
,"Startup race condition, connection dropped due to ""nonexistent"" folder",
,Syncthing gets stuck when Unix creates folder and file with different case in name,
,"Documentation: ""/rest/system/browse"" is not present in docs",
,syncthing 0.9.11 amd64 still dynamically linked,
,Folders status not accurate if/when corresponding remote service is paused,
,Allow negative ACL entries on devices,
,item has UTF8 encoding conflict with another item,
,Add SEPA (IBAN & BIC) donation,
,"Devices do not see eachother, listed as disconnect and unused",
,Feature request: precomp for efficient transfer of compressed files,
,Line Endings,
,"LAN sync, authentication to HTTP proxy and Syncthing updates",
,setting syncthing to run on low priority,
,Deny Adding of Folders,
,syncthing/relaysrv:1.14.0 can't start,
,POST to /ignores and /config getting no response,
,"GUI should show how much unique stuff we have, that other nodes need to synchronize",
,"Panic: ldbWithNeed, leveldb.go:698",
,Syncthing v1.15.0-rc.3 crashes instantly on Windows,
,strange .stignore behavior,
,ST not connecting using Tor proxy in 0.13.1,
,Web interface should indicate initial scan in progress at startup,
,"Getting tons of ""The system cannot find the path specified."" in the log",
,CheckFolderHealth needs to check for duplicate (invalid) folder IDs and missing Path,
,Windows binaries should be code signed,
,Devices should remember shared folders,
,UTF-8 filename conflicts when syncing from Windows NTFS,
,How to running  stdiscosrv or strelaysrv with daemon mode in linux platform?,
,Panic Log,
,Occasional GUI 502 HTTP Error,
,stdiscosrv failed to load keypair without proper error message,
,More efficient renaming,
,Very slow scans on Windows in 1.9.0,
,Renaming code breaks file type changes,
,lib/model: Spurious TestDeregisterOnFailInCopy failure,
,Mandatory authentication,
,Local discovery over IPv4 unavailable with two instances,
,losing connections - to slow arm devices,
,Hangs when syncing symbolic links,
,Exclude Local Network from Bandwidth Limitations,
,segfault on macOS 10.12 beta (16A270f),
,Bits per second vs bytes per second ?,
,"Syncing folders list ""Out of Sync"" in GUI instead of ""Out of Sync items"". Affects translations",
,node id from edit dialog is not copyable,
,Syncthing will not fail to start if guiAddress is in use,
,Panic on initial startup,
,Allow partial downloads to be available for pulling,
,Implement global block lookup,
,Cannot access web interface,
,Security section: breaking out of repo dir?,
,Tests fail when building the Alpine pkg on aarch64,
,Can't software be used only on the Intranet?,
,Can not sync data with a raid1 NAS,
,Windows client console or taskbar icon showing quickly even with syncthing.exe -no-console -no-browser,
,Remove KCP,
,resolved external address,
